"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-01","0.24","71","88",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-02",,"65","83","60"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-03","0.20","64","72","60"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-04","0.20","65","71",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-05","0.28","66","72",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-06","0.59","72","85",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-07","0.00","71","86","59"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-08",,"74","88","62"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-09",,"74","88","63"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-10",,"74","89","63"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-11","0.35","65","89",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-12","0.24","71","82","62"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-13","0.00","71","85","63"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-14","0.12","71","85","63"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-15","0.08","67","82",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-16","1.54","71","84",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-17","0.00","71","85","52"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-18",,"71","86","55"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-19",,"73","88","62"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-20",,"73","91","63"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-21",,"74","92","62"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-22",,"76","92","61"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-23",,"77","92","62"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-24",,"74","93","61"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-25",,"72","93","62"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-26",,"68","84","62"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-27",,"66","78",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-28",,"67","80",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-29",,"68","86","58"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-30",,"73","89","57"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-01-31",,"70","89","57"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-01",,"73","88",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-02",,"61","88","56"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-03","0.87","62","67","59"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-04","1.73","71","85","64"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-05","0.01","73","89","60"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-06","0.00","71","89","60"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-07","0.04","71","88","57"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-08","0.00","74","88","61"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-09",,"72","89","64"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-10","0.01","69","89",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-13",,"78","89","58"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-14",,"74","91","62"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-15",,"73","91",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-16",,"66","89",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-17",,"68","86","52"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-18",,"71","92","52"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-19",,"66","92","52"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-21",,"66","88",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-22",,"67","88","54"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-23","1.50","63","76","58"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-24","0.39","68","83","58"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-25","0.00","70","85",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-26",,"69","86","55"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-27",,"69","86","57"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-02-28",,"68","85","57"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-01",,"66","83","53"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-02",,"67","84","49"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-03",,"69","88","50"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-04",,"73","89","56"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-05",,"70","90",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-06",,"70","91","46"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-07",,"69","91","45"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-08",,"67","90","47"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-09",,"69","90","49"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-10","0.01","68","85","43"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-11","0.00","72","89","45"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-12",,"70","90","50"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-13",,"71","90","55"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-14",,"72","90","57"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-15",,"65","90","51"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-16",,"67","85","51"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-17","0.03","64","85",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-18","0.08","66","84","53"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-19","0.00","69","89","54"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-20",,"64","89",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-21",,"63","81","51"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-22",,"64","84","45"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-23",,"65","85","45"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-24","0.04","59","85",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-25","2.52","58","70",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-26","0.47","60","78","49"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-27","0.01","62","81","49"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-28","0.02","61","81","46"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-29","0.00","62","81","51"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-30",,"63","84","47"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-03-31",,"63","84","45"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-01",,"65","83","55"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-02",,"67","85","49"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-03",,"64","85","46"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-04",,"63","82","44"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-05",,"66","87","46"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-06",,"66","87","50"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-07",,"65","87","53"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-08",,"65","85","49"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-09",,"65","87","47"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-10",,"66","88","45"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-11",,"67","90","48"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-12",,"68","90","48"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-13",,"67","89","47"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-14",,"68","89","47"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-15",,"65","89","46"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-16",,"58","86",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-17",,"57","79","39"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-18",,"59","80","39"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-19",,"60","84","40"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-20",,"59","84","42"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-21",,"61","78","48"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-22",,"59","78","43"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-23","0.04","60","78","48"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-24","0.00","56","76","39"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-25",,"57","81",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-26",,"57","81","38"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-27",,"60","82","40"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-28",,"61","82","41"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-29",,"58","82","50"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-04-30",,"53","72",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-01",,"52","68",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-02",,"51","71","35"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-03",,"54","75","35"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-04",,"53","75","37"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-05",,"55","75","37"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-06",,"57","76","38"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-07","0.01","57","76",
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-08","0.16","53","72","38"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-09","0.00","53","69","38"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-10",,"53","75","34"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-11","0.01","54","77","34"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-12","0.00","53","78","35"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-13",,"54","79","32"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-14",,"54","79","34"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-15",,"55","77","34"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-16",,"50","77","33"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-17",,"45","65","28"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-18",,"47","72","26"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-19",,"53",,"30"
"SF002613650","BLOEMFONTEIN AIRPOR, SF","2021-05-20",,"59","77",
