"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-02",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-03",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-04",,,"12.2","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-05",,,"0.0",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-06",,,"0.0",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-07",,,"0.3",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-08",,,"0.3",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-10",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-17",,,"0.3",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-18",,,"0.0",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-19",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-20",,,"0.3",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-25",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-30",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-31",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-01",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-02",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-03",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-04",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-05",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-06",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-07",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-16",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-20",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-21",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-22",,,"0.3",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-23",,,"0.5",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-02",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-03",,,"0.0",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-04",,,"1.8",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-05",,,"0.3",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-06",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-07",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-08",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-09",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-11",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-12",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-13",,,"0.8",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-14",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-15",,,"3.8",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-16",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-17",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-18",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-19",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-20",,,"0.0",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-21",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-22",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-23",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-24",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-27",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-28",,,"9.1",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-04-10",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-04-11",,,"0.5",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-04-12",,,"0.3",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-04-13",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-04-14",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-04-15",,,"3.8",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-04-16",,,"11.7",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-04-17",,,"0.3",,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-04-18",,,"0.0","0.0",,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-04-19",,,"4.1",,,,,,
