latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-4.48244,17.87352,304.83,1.04,1.02,2022-08-15,0020,A,62,6.1NRT,291.78,6.77,N
-22.38384,24.93051,310.46,3.62,1.78,2022-08-15,0024,A,80,6.1NRT,277.04,88.02,N
-5.23871,21.34192,300.78,1.16,1.07,2022-08-15,0020,A,33,6.1NRT,290.73,5.03,N
-5.72723,20.70114,307.94,1.1,1.04,2022-08-15,0022,A,73,6.1NRT,290.8,10.08,N
-7.02008,20.22645,336.99,1.08,1.04,2022-08-15,0022,A,100,6.1NRT,292.08,43.82,N
-7.02148,20.23615,320.59,1.08,1.04,2022-08-15,0022,A,100,6.1NRT,291.3,21.21,N
-8.01551,17.84918,300.58,1.01,1,2022-08-15,0022,A,30,6.1NRT,287.58,5.67,N
-8.09834,16.25813,319.83,1.12,1.05,2022-08-15,0022,A,99,6.1NRT,288.4,22.32,N
-8.09987,16.26817,333.09,1.12,1.05,2022-08-15,0022,A,100,6.1NRT,289.62,40.45,N
-8.1093,16.26673,306.94,1.12,1.05,2022-08-15,0022,A,70,6.1NRT,288.14,10.85,N
-9.04055,19.76628,301.24,1.07,1.03,2022-08-15,0022,A,39,6.1NRT,286.67,7,N
-8.66294,16.6456,307.49,1.07,1.03,2022-08-15,0022,A,72,6.1NRT,289.68,10.03,N
-9.11806,19.66076,303.54,1.07,1.03,2022-08-15,0022,A,56,6.1NRT,288.01,8.15,N
-9.12319,19.63061,332.38,1.06,1.03,2022-08-15,0022,A,100,6.1NRT,289.12,37.18,N
-9.12456,19.64021,319.91,1.07,1.03,2022-08-15,0022,A,99,6.1NRT,288.85,20.93,N
-9.45708,21.07545,301.61,1.26,1.11,2022-08-15,0022,A,43,6.1NRT,289.32,7.89,N
-9.4587,21.08704,305.78,1.26,1.11,2022-08-15,0022,A,66,6.1NRT,289.59,11.38,N
-9.46869,21.08565,328.84,1.26,1.11,2022-08-15,0022,A,100,6.1NRT,289.75,39.89,N
-9.83081,19.88479,306.52,1.1,1.05,2022-08-15,0022,A,68,6.1NRT,284.86,11.63,N
-22.39999,24.92905,307.42,3.62,1.78,2022-08-15,0024,A,71,6.1NRT,276.43,79.51,N
-10.62072,19.17351,311.05,1.05,1.02,2022-08-15,0022,A,82,6.1NRT,288.91,12.96,N
-22.391,24.92221,318.11,3.62,1.78,2022-08-15,0024,A,96,6.1NRT,277.1,130.7,N
-10.6299,19.17219,306.57,1.05,1.02,2022-08-15,0022,A,68,6.1NRT,288.57,10.15,N
-10.81714,19.5049,303.9,1.09,1.04,2022-08-15,0022,A,57,6.1NRT,283.28,10.11,N
-22.7814,23.551,326.5,2.9,1.62,2022-08-15,0024,A,77,6.1NRT,281.03,127.83,N
-10.98031,19.76463,309.28,1.12,1.05,2022-08-15,0022,A,77,6.1NRT,280.42,14.92,N
-22.79609,23.54948,345.71,2.9,1.62,2022-08-15,0024,A,100,6.1NRT,282.97,262.82,N
-10.20478,14.26385,301.24,1.36,1.15,2022-08-15,0022,A,39,6.1NRT,289.48,8.18,N
-14.47227,15.69964,303.62,1.04,1.02,2022-08-15,0024,A,56,6.1NRT,286.31,8.1,N
-22.81079,23.54797,343.17,2.9,1.62,2022-08-15,0024,A,100,6.1NRT,282.13,240.57,N
-22.82549,23.54646,328.17,2.9,1.62,2022-08-15,0024,A,37,6.1NRT,279.88,132.49,N
-15.04377,19.65814,307.68,1.22,1.1,2022-08-15,0024,A,72,6.1NRT,282.94,13.9,N
-22.78136,23.54346,324.09,2.9,1.62,2022-08-15,0024,A,100,6.1NRT,281.15,120.9,N
-16.18819,19.38272,307.59,1.21,1.09,2022-08-15,0024,A,72,6.1NRT,281.12,15.22,N
-22.79605,23.5419,341.34,2.9,1.62,2022-08-15,0024,A,100,6.1NRT,281.79,232.23,N
-16.18743,19.30293,300.74,1.2,1.09,2022-08-15,0024,A,33,6.1NRT,285.25,9.5,N
-22.79858,23.5703,323.54,2.91,1.63,2022-08-15,0024,A,100,6.1NRT,280.14,116.92,N
-16.20937,19.3912,314.54,1.21,1.09,2022-08-15,0024,A,89,6.1NRT,282.76,20.82,N
-22.81074,23.54036,341.08,2.9,1.62,2022-08-15,0024,A,100,6.1NRT,281,229.81,N
-17.54268,25.47078,308.65,3.45,1.75,2022-08-15,0024,A,75,6.1NRT,288.14,61.58,N
-22.8133,23.56875,323.3,2.91,1.63,2022-08-15,0024,A,100,6.1NRT,279.94,115.61,N
-22.82543,23.53882,322.98,2.9,1.62,2022-08-15,0024,A,100,6.1NRT,278.91,111.65,N
-17.55846,25.46913,300.09,3.45,1.75,2022-08-15,0024,A,12,6.1NRT,287.56,28.05,N
-22.82802,23.56721,312.38,2.91,1.63,2022-08-15,0024,A,59,6.1NRT,278.53,66.43,N
-17.55169,25.46246,310.72,3.45,1.75,2022-08-15,0024,A,81,6.1NRT,288.39,65.9,N
-17.48253,23.77957,301.49,2.56,1.54,2022-08-15,0024,A,42,6.1NRT,287.83,22.93,N
-22.84012,23.53728,317.36,2.9,1.62,2022-08-15,0024,A,91,6.1NRT,277.94,87.13,N
-22.84275,23.56566,305.9,2.91,1.63,2022-08-15,0024,A,25,6.1NRT,277.22,46.46,N
-17.48882,23.77368,302.3,2.56,1.54,2022-08-15,0024,A,48,6.1NRT,287.48,25.51,N
-22.85481,23.53574,310.71,2.9,1.62,2022-08-15,0024,A,22,6.1NRT,276.89,60.64,N
-17.52455,20.67997,300.22,1.51,1.21,2022-08-15,0024,A,22,6.1NRT,282.7,12.6,N
-24.29887,23.23061,303.04,2.87,1.62,2022-08-15,0024,A,53,6.1NRT,273.49,47.29,N
-18.54104,19.78265,305.66,1.36,1.16,2022-08-15,0024,A,65,6.1NRT,283,15.75,N
-24.30042,23.2256,305.02,2.87,1.62,2022-08-15,0024,A,63,6.1NRT,273.28,51.3,N
-15.09214,47.36021,324.85,1.39,1.17,2022-08-15,0644,T,78,6.1NRT,301.95,23.34,D
-15.1026,47.35845,333.89,1.39,1.17,2022-08-15,0644,T,86,6.1NRT,301.9,40.49,D
-15.12365,47.28852,314.79,1.4,1.17,2022-08-15,0644,T,53,6.1NRT,300.88,7.71,D
-15.11975,47.29589,315.71,1.4,1.17,2022-08-15,0644,T,51,6.1NRT,301.23,8.43,D
-15.63245,47.34742,316.02,1.36,1.16,2022-08-15,0644,T,65,6.1NRT,302.03,8.96,D
-15.97389,46.55728,314.1,1.52,1.22,2022-08-15,0644,T,47,6.1NRT,301,8.87,D
-15.99441,46.1286,320.82,1.62,1.25,2022-08-15,0644,T,72,6.1NRT,299.79,23.54,D
-16.30067,47.86629,312.32,1.24,1.11,2022-08-15,0644,T,37,6.1NRT,299.63,5.92,D
-16.43063,44.76411,316.07,2,1.38,2022-08-15,0644,T,61,6.1NRT,300.25,17.06,D
-16.43249,44.75774,315.58,2,1.38,2022-08-15,0644,T,56,6.1NRT,300.42,14.97,D
-16.98031,46.09578,315.85,1.57,1.23,2022-08-15,0644,T,61,6.1NRT,301.86,10.36,D
-17.07357,44.75194,315.54,1.95,1.36,2022-08-15,0644,T,58,6.1NRT,300.95,14.83,D
-17.07612,44.74443,316.58,1.95,1.36,2022-08-15,0644,T,62,6.1NRT,300.86,15.84,D
-17.75088,46.41654,314.45,1.45,1.19,2022-08-15,0644,T,59,6.1NRT,300.79,9.92,D
-17.53927,44.47145,317.31,2,1.38,2022-08-15,0644,T,57,6.1NRT,299.5,21.39,D
-17.60362,44.76373,313.64,1.9,1.35,2022-08-15,0644,T,52,6.1NRT,296.96,15.03,D
-17.60662,44.7808,311.51,1.9,1.35,2022-08-15,0644,T,36,6.1NRT,298.08,10.72,D
-17.72519,44.93147,323.47,1.84,1.33,2022-08-15,0644,T,76,6.1NRT,299.16,35.79,D
-18.47497,44.47403,317,1.92,1.35,2022-08-15,0644,T,67,6.1NRT,299.67,19.87,D
-18.69648,45.47637,319.23,1.62,1.25,2022-08-15,0644,T,72,6.1NRT,299.22,19.77,D
-18.69509,45.47031,316.74,1.62,1.25,2022-08-15,0644,T,68,6.1NRT,300.01,16.24,D
-18.92111,45.50927,317.19,1.59,1.24,2022-08-15,0644,T,68,6.1NRT,300.74,16.4,D
-19.05298,45.73851,320.91,1.53,1.22,2022-08-15,0644,T,74,6.1NRT,299.27,23.96,D
